# 
# VizieR Astronomical Server vizier.cfa.harvard.edu
# Date: 2016-02-13T00:32:03 [V1.99+ (14-Oct-2013)]
# In case of problem, please report to:	cds-question@unistra.fr
# 
# 
# Coosys	J2000:	eq_FK5 J2000
# INFO	votable-version=1.99+ (14-Oct-2013)
# INFO	-ref=VIZ56be79032983
# INFO	-out.max=99999
# INFO	queryParameters=23
# -oc.form=dec
# -out.max=99999
# -order=I
# -out.src=J/AJ/149/119/table3
# -nav=cat:J/AJ/149/119&tab:{J/AJ/149/119/table3}&key:source=J/AJ/149/119&HTTPPRM:&&-ref=VIZ56be79032983&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=2MASS&-out=RAJ2000&-out=DEJ2000&-out=<HRV>&-out=e_<HRV>&-out=Nobs&-out=EW&-out=SpT&-out=K-3.6&-out=3.6-4.5&-out=F06&-out=2M&-ignore=2M=*&2M=2M&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/149/119/table3
# -c.eq=J2000
# -c.r=  2
# -c.u=arcmin
# -c.geom=r
# -source=J/AJ/149/119/table3
# -order=I
# -out=2MASS
# -out=RAJ2000
# -out=DEJ2000
# -out=<HRV>
# -out=e_<HRV>
# -out=Nobs
# -out=EW
# -out=SpT
# -out=K-3.6
# -out=3.6-4.5
# -out=F06
# -out=2M
# 
# RESOURCE=yCat_51490119
# Name: J/AJ/149/119
# Title: Radial velocities of stars in NGC 2264 (Tobin+, 2015)
# Table	J_AJ_149_119_table3:
# Name: J/AJ/149/119/table3
# Title: Velocity summary
# Column	2MASS	(A14)	Internal source name (HHMMSSs+DDMMSS, J2000)	[ucd=meta.id;meta.main]
# Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
# Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
# Column	<HRV>	(F7.2)	[-108/235] Mean Heliocentric Radial Velocity (1)	[ucd=spect.dopplerVeloc;stat.mean]
# Column	e_<HRV>	(F5.2)	Uncertainty in HRV	[ucd=stat.error]
# Column	Nobs	(I2)	[2/14] Number of observations (epochs) (2)	[ucd=meta.number]
# Column	EW	(F6.2)	? Lithium 6707{AA} Equivalent Width	[ucd=spect.line.eqWidth]
# Column	SpT	(F5.1)	[61/77.2]? Numerical spectral type (3)	[ucd=src.spType]
# Column	K-3.6	(F6.2)	[-23/22]? The Ks-[3.6] color index (4)	[ucd=phot.color;em.IR.K;em.IR.3-4um]
# Column	3.6-4.5	(F6.2)	[-22/22]? The [3.6]-[4.5] color index (4)	[ucd=phot.color;em.IR.3-4um;em.IR.4-8um]
# Column	F06	(I3)	Source from Furesz et al. 2006 (cat. J/ApJ/648/1090) within 1.5'' [NULL integer written as an empty string]	[ucd=meta.ref.url]
# Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
2MASS;RAJ2000;DEJ2000;<HRV>;e_<HRV>;Nobs;EW;SpT;K-3.6;3.6-4.5;F06;2M
0641043+094822;06 41 04.34;+09 48 22.1;5.31;0.30;11;0.51;0.946;0.23;-0.05;1;2M
0641044+093643;06 41 04.44;+09 36 43.4;3.95;0.34;2;-999;-999;0.59;0.29;0;2M
0641044+095126;06 41 04.44;+09 51 26.1;10.15;0.26;2;-999;-999;0.10;-0.11;0;2M
0641044+095318;06 41 04.47;+09 53 18.4;9.81;0.29;10;-999;-999;0.22;0.15;1;2M
0641045+092518;06 41 04.55;+09 25 18.3;0.66;1.05;6;0.52;1.613;0.34;-0.01;1;2M
0641047+093626;06 41 04.71;+09 36 26.7;2.68;0.64;4;-999;-999;0.04;0.00;0;2M
0641050+094847;06 41 05.10;+09 48 48.0;8.12;0.26;8;0.68;1.475;0.15;-0.04;0;2M
0641051+094855;06 41 05.14;+09 48 55.6;1.42;0.59;3;0.62;1.376;0.04;-0.01;1;2M
0641051+095144;06 41 05.10;+09 51 44.6;6.49;0.47;9;-999;-999;0.11;0.06;1;2M
0641051+100018;06 41 05.18;+10 00 19.0;3.97;1.48;5;0.71;1.750;0.33;0.03;0;2M
0641056+095418;06 41 05.68;+09 54 18.7;5.95;1.28;2;-999;-999;N/A;0.01;0;2M
0641057+093101;06 41 05.75;+09 31 01.3;6.31;0.58;9;-999;-999;0.56;0.13;1;2M
0641057+094817;06 41 05.78;+09 48 17.5;9.70;0.57;9;-999;-999;0.73;0.27;1;2M
0641058+092255;06 41 05.88;+09 22 55.7;9.75;3.36;3;-999;-999;1.62;0.47;0;2M
0641058+095247;06 41 05.81;+09 52 47.9;7.56;0.25;8;-999;-999;0.07;-0.05;1;2M
0641059+093551;06 41 06.00;+09 35 51.3;51.92;0.07;2;-999;-999;0.06;0.05;0;2M
0641060+093552;06 41 06.04;+09 35 52.0;51.87;0.03;2;-999;-999;N/A;0.05;0;2M
0641062+092503;06 41 06.23;+09 25 03.7;0.14;1.53;7;-999;-999;0.43;0.29;1;2M
0641062+093622;06 41 06.20;+09 36 23.0;6.19;0.57;5;-999;-999;0.41;0.27;1;2M
0641064+092838;06 41 06.43;+09 28 38.8;4.32;0.51;8;-999;-999;0.16;0.26;1;2M
0641067+094727;06 41 06.73;+09 47 27.6;6.53;0.71;5;0.88;1.602;0.59;0.25;0;2M
0641068+092321;06 41 06.89;+09 23 21.4;1.75;0.02;2;-999;-999;0.01;-0.03;0;2M
0641068+092732;06 41 06.82;+09 27 32.3;7.02;0.23;5;-999;-999;0.70;0.54;1;2M
0641068+092924;06 41 06.90;+09 29 24.0;4.51;0.64;4;0.88;1.447;0.69;0.38;1;2M
0641071+091238;06 41 07.12;+09 12 38.3;2.50;0.24;3;-999;-999;N/A;0.45;1;2M
0641071+092729;06 41 07.16;+09 27 29.4;6.27;0.80;5;-999;-999;0.69;0.45;1;2M
0641072+095831;06 41 07.26;+09 58 31.2;6.43;1.35;7;-999;-999;0.09;-0.02;1;2M
0641073+092554;06 41 07.34;+09 25 55.0;4.62;0.22;7;-999;-999;-0.09;0.01;1;2M
0641075+094133;06 41 07.56;+09 41 33.6;-0.40;3.32;2;0.73;1.602;0.34;0.28;0;2M
0641077+092813;06 41 07.77;+09 28 13.5;2.28;1.33;2;0.00;0.98;0.18;0.04;0;2M
0641077+094114;06 41 07.76;+09 41 14.9;10.26;0.88;10;-999;-999;0.12;0.04;1;2M
0641080+093040;06 41 08.01;+09 30 40.3;8.00;0.38;10;-999;-999;0.29;0.00;1;2M
0641081+092322;06 41 08.12;+09 23 22.3;25.96;1.04;2;-999;-999;0.21;0.11;0;2M
0641082+093409;06 41 08.21;+09 34 09.5;5.06;1.33;4;-999;-999;0.52;0.28;0;2M
0641085+094251;06 41 08.56;+09 42 51.5;5.66;0.45;4;0.57;1.408;0.15;0.03;0;2M
0641088+094601;06 41 08.87;+09 46 01.1;-6.25;0.72;3;-999;-999;-0.01;-0.02;0;2M
0641088+095301;06 41 08.86;+09 53 01.1;4.21;0.63;5;0.35;1.491;0.40;0.35;0;2M
0641089+093346;06 41 08.96;+09 33 46.0;3.60;1.09;11;0.45;1.637;0.43;0.29;1;2M
0641089+094114;06 41 08.92;+09 41 14.8;4.83;0.27;2;0.84;1.15;0.10;0.07;0;2M
0641089+095647;06 41 08.93;+09 56 47.6;7.18;3.25;2;-999;-999;0.33;0.00;0;2M
0641090+093009;06 41 09.09;+09 30 09.1;5.47;0.50;5;-999;-999;1.30;0.45;1;2M
0641091+095301;06 41 09.20;+09 53 01.5;4.10;0.99;9;-999;-999;0.14;0.09;0;2M
0641091+095302;06 41 09.19;+09 53 02.1;4.18;0.34;2;-999;-999;N/A;0.09;0;2M
0641095+093525;06 41 09.51;+09 35 25.5;7.85;2.29;8;-999;-999;0.14;-0.02;1;2M
0641099+093020;06 41 09.91;+09 30 20.7;4.51;1.96;2;-999;-999;-21.91;0.33;0;2M
0641101+093128;06 41 10.14;+09 31 28.5;3.93;1.29;4;0.82;1.590;0.24;0.06;1;2M
0641103+092149;06 41 10.31;+09 21 49.5;1.21;0.54;2;-999;-999;0.15;0.09;0;2M
0641107+094641;06 41 10.79;+09 46 41.2;1.77;1.18;2;-999;-999;0.31;0.08;0;2M
0641107+095742;06 41 10.70;+09 57 42.5;8.58;0.28;8;-999;-999;0.68;0.30;1;2M
0641109+093555;06 41 11.00;+09 35 55.7;5.12;0.90;4;0.26;1.441;1.10;0.49;0;2M
0641115+100223;06 41 11.59;+10 02 23.6;5.97;0.64;10;-999;-999;0.15;0.02;1;2M
0641118+092332;06 41 11.82;+09 23 32.6;0.29;1.77;2;-999;-999;0.17;0.10;0;2M
0641127+095944;06 41 12.71;+09 59 44.6;-21.13;0.46;2;-999;-999;0.31;-0.02;0;2M
0641128+092614;06 41 12.87;+09 26 14.9;4.62;0.65;10;-999;-999;0.95;0.59;1;2M
0641128+094600;06 41 12.89;+09 46 00.8;0.53;0.48;2;-999;-999;0.25;0.07;0;2M
0641128+095243;06 41 12.82;+09 52 43.4;6.37;0.47;9;-999;-999;0.17;-0.06;1;2M
0641129+090525;06 41 12.92;+09 05 25.7;1.64;0.69;2;-999;-999;N/A;N/A;1;2M
0641129+093532;06 41 12.96;+09 35 32.3;4.78;0.52;2;0.73;1.497;0.14;-0.06;0;2M
0641130+092740;06 41 13.00;+09 27 40.0;7.53;0.10;2;-999;-999;-21.05;-0.01;0;2M
0641132+095508;06 41 13.22;+09 55 08.7;-0.77;0.93;2;-999;-999;0.25;0.06;0;2M
0641133+092807;06 41 13.33;+09 28 07.5;4.42;0.47;2;0.61;1.361;0.09;0.01;0;2M
0641133+095154;06 41 13.30;+09 51 54.4;5.81;0.14;2;0.73;1.479;0.14;0.05;0;2M
0641138+094542;06 41 13.87;+09 45 42.5;-25.71;0.14;6;-999;-999;0.06;0.01;1;2M
0641144+093321;06 41 14.47;+09 33 21.4;5.45;0.33;6;-999;-999;0.18;0.03;1;2M
0641144+093714;06 41 14.48;+09 37 14.3;3.34;0.50;10;0.59;1.408;0.13;0.05;1;2M
0641147+093413;06 41 14.75;+09 34 13.5;3.86;0.28;7;0.51;1.477;1.45;0.46;1;2M
0641148+092555;06 41 14.86;+09 25 55.1;6.25;2.59;3;-999;-999;-20.26;0.50;0;2M
0641148+093235;06 41 14.85;+09 32 35.8;8.43;1.66;5;-999;-999;0.53;-0.03;0;2M
0641152+093757;06 41 15.21;+09 37 57.6;4.29;0.86;3;-999;-999;0.54;0.32;0;2M
0641154+094012;06 41 15.47;+09 40 12.6;-44.18;0.14;5;-999;-999;-0.05;0.00;1;2M
0641154+094639;06 41 15.43;+09 46 39.6;2.72;0.83;7;-999;-999;0.12;-0.06;1;2M
0641157+092616;06 41 15.75;+09 26 16.8;2.98;0.64;5;-999;-999;0.13;-0.04;1;2M
0641157+093818;06 41 15.72;+09 38 18.2;-10.61;0.08;6;-999;-999;0.00;0.04;1;2M
0641159+092609;06 41 15.99;+09 26 09.5;4.10;1.63;4;-999;-999;0.50;0.68;0;2M
0641165+095213;06 41 16.52;+09 52 13.2;40.53;0.24;2;-999;-999;-0.01;0.00;0;2M
0641167+092730;06 41 16.78;+09 27 30.2;0.79;0.52;8;-999;-999;0.42;0.28;1;2M
0641170+093252;06 41 17.06;+09 32 52.3;3.88;1.96;2;-999;-999;0.25;0.00;0;2M
0641170+095240;06 41 17.10;+09 52 40.5;9.09;0.69;9;-999;-999;0.23;-0.03;0;2M
0641172+095432;06 41 17.25;+09 54 32.4;4.41;0.02;2;0.38;1.268;1.06;0.47;0;2M
0641177+092926;06 41 17.71;+09 29 26.2;8.56;0.84;7;-999;-999;0.34;-0.01;1;2M
0641179+092901;06 41 17.92;+09 29 01.1;10.25;1.13;2;-999;-999;0.69;0.51;1;2M
0641180+093825;06 41 18.08;+09 38 25.4;3.39;3.56;2;0.48;1.750;0.35;0.04;0;2M
0641182+093353;06 41 18.27;+09 33 53.6;5.01;0.32;9;-999;-999;0.16;0.05;1;2M
0641183+093941;06 41 18.37;+09 39 41.1;6.02;0.86;8;0.30;1.434;0.31;0.10;1;2M
0641183+094406;06 41 18.31;+09 44 06.8;5.51;0.66;2;0.56;1.486;0.56;0.33;0;2M
0641183+094407;06 41 18.30;+09 44 07.1;6.05;0.65;2;-999;-999;N/A;0.33;0;2M
0641188+093944;06 41 18.90;+09 39 44.0;12.99;0.36;8;-999;-999;0.14;-0.10;1;2M
0641189+092715;06 41 18.93;+09 27 15.8;1.04;0.03;2;0.66;2.272;0.21;0.10;0;2M
0641189+093554;06 41 18.90;+09 35 54.2;2.66;0.95;3;0.00;1.602;0.43;0.23;0;2M
0641194+093028;06 41 19.45;+09 30 28.6;32.29;0.12;5;-999;-999;-0.01;-0.04;0;2M
0641198+092704;06 41 19.85;+09 27 04.8;1.45;0.62;2;-999;-999;0.18;0.08;0;2M
0641205+094535;06 41 20.54;+09 45 35.5;2.06;0.30;8;0.49;1.337;0.17;0.03;1;2M
0641205+094730;06 41 20.54;+09 47 30.0;1.86;0.81;2;0.56;1.33;0.18;0.04;0;2M
0641207+092845;06 41 20.71;+09 28 45.3;2.09;2.70;2;1.14;1.578;0.53;0.31;0;2M
0641207+094315;06 41 20.73;+09 43 15.6;74.73;0.31;2;-999;-999;0.43;0.02;0;2M
0641214+095835;06 41 21.42;+09 58 35.5;-14.14;0.40;2;-999;-999;0.07;-0.08;0;2M
0641217+094530;06 41 21.79;+09 45 31.0;4.76;0.19;9;0.41;1.224;-0.03;0.01;0;2M
0641220+094312;06 41 22.02;+09 43 12.7;3.54;0.39;9;0.56;1.24;0.15;0.00;1;2M
0641220+095112;06 41 22.03;+09 51 12.7;3.48;0.38;8;0.49;1.33;0.16;-0.07;1;2M
0641225+092912;06 41 22.54;+09 29 12.9;-10.77;0.38;2;-999;-999;0.06;-0.05;0;2M
0641231+093733;06 41 23.14;+09 37 33.9;4.87;1.51;7;0.57;1.526;0.79;0.32;0;2M
0641232+093036;06 41 23.20;+09 30 36.4;-0.19;1.57;2;0.76;1.486;0.10;0.13;0;2M
0641234+094558;06 41 23.46;+09 45 58.6;1.84;0.01;2;0.43;1.408;N/A;0.00;0;2M
0641236+094716;06 41 23.63;+09 47 16.4;1.23;1.29;2;-999;-999;-22.14;0.04;0;2M
0641237+093356;06 41 23.79;+09 33 56.5;-6.60;1.63;5;-999;-999;0.05;-0.01;1;2M
0641242+093154;06 41 24.25;+09 31 54.2;6.35;0.19;2;-999;-999;0.11;0.00;0;2M
0641243+092139;06 41 24.39;+09 21 39.0;-21.16;0.07;2;-999;-999;N/A;0.05;0;2M
0641245+093735;06 41 24.54;+09 37 35.5;3.93;3.27;2;-999;-999;0.25;0.04;0;2M
0641250+094242;06 41 25.02;+09 42 42.1;2.02;0.49;7;0.56;1.517;0.10;0.00;0;2M
0641256+094403;06 41 25.63;+09 44 03.3;3.55;0.61;2;1.09;1.535;N/A;0.28;0;2M
0641262+093448;06 41 26.28;+09 34 48.3;21.79;0.31;5;-999;-999;0.06;-0.05;1;2M
0641262+094722;06 41 26.22;+09 47 22.5;38.80;0.37;2;-999;-999;0.18;0.08;0;2M
0641264+094405;06 41 26.49;+09 44 05.8;4.13;0.03;2;0.23;1.208;N/A;0.09;0;2M
0641266+092354;06 41 26.67;+09 23 54.7;25.70;0.99;5;-999;-999;0.00;0.00;1;2M
0641270+093013;06 41 27.00;+09 30 13.1;4.96;0.62;6;0.20;1.497;0.19;0.04;1;2M
0641275+093155;06 41 27.56;+09 31 55.8;23.72;0.32;3;-999;-999;0.08;-0.10;0;2M
0641282+093459;06 41 28.30;+09 35 00.0;160.40;0.11;4;-999;-999;0.08;-0.03;0;2M
0641287+092710;06 41 28.74;+09 27 10.8;4.24;3.00;2;-999;-999;0.16;0.00;0;2M
0641288+100914;06 41 28.85;+10 09 14.5;7.80;0.08;4;-999;-999;N/A;N/A;1;2M
0641291+093936;06 41 29.19;+09 39 36.0;4.88;0.59;3;-999;-999;0.08;-0.06;0;2M
0641294+093918;06 41 29.45;+09 39 18.2;4.15;0.37;2;0.65;1.408;N/A;0.02;0;2M
0641307+094259;06 41 30.75;+09 42 59.6;25.99;0.21;3;-999;-999;0.17;0.03;1;2M
0641309+092020;06 41 30.97;+09 20 20.0;-0.15;1.76;5;-999;-999;0.27;-0.07;0;2M
0641311+092658;06 41 31.12;+09 26 58.2;2.49;0.73;9;-999;-999;0.89;0.33;1;2M
0641319+095514;06 41 31.95;+09 55 14.7;115.35;0.17;2;-999;-999;N/A;-0.02;0;2M
0641325+093807;06 41 32.50;+09 38 07.4;2.44;0.41;9;-999;-999;0.07;0.03;1;2M
0641325+094536;06 41 32.58;+09 45 36.4;36.42;1.36;2;-999;-999;N/A;-0.08;0;2M
0641327+095324;06 41 32.70;+09 53 24.1;-12.88;1.60;2;-999;-999;0.15;0.05;0;2M
0641332+094146;06 41 33.28;+09 41 46.1;73.99;0.18;2;-999;-999;0.20;-0.06;0;2M
0641335+094321;06 41 33.59;+09 43 21.4;20.02;0.13;2;-999;-999;0.19;0.07;0;2M
0641340+095848;06 41 34.00;+09 58 48.6;11.02;0.10;2;-999;-999;N/A;0.00;0;2M
0641342+093442;06 41 34.26;+09 34 42.4;49.06;0.20;5;-999;-999;0.26;0.06;1;2M
0641343+092553;06 41 34.34;+09 25 53.4;0.00;4.51;2;-999;-999;0.22;0.04;0;2M
0641343+100225;06 41 34.38;+10 02 25.1;-0.69;0.31;2;-999;-999;N/A;-0.02;0;2M
0641345+093632;06 41 34.56;+09 36 32.5;4.48;0.94;9;0.68;1.447;0.27;-0.02;1;2M
0641354+091850;06 41 35.48;+09 18 50.3;-1.28;0.88;2;-999;-999;0.32;0.14;0;2M
0641354+094919;06 41 35.42;+09 49 19.2;-12.74;0.33;2;-999;-999;0.30;0.03;0;2M
0641357+100415;06 41 35.74;+10 04 15.8;3.50;1.49;4;-999;-999;N/A;0.04;0;2M
0641358+094042;06 41 35.89;+09 40 42.0;6.46;0.51;2;0.76;1.535;0.02;0.08;0;2M
0641360+095433;06 41 36.00;+09 54 33.1;27.80;0.98;2;-999;-999;N/A;0.00;0;2M
0641362+093920;06 41 36.24;+09 39 20.4;1.22;0.45;11;0.60;1.376;0.10;0.07;1;2M
0641367+095337;06 41 36.71;+09 53 38.0;38.72;0.87;5;-999;-999;0.15;0.08;0;2M
0641367+095819;06 41 36.73;+09 58 19.8;57.91;0.22;2;-999;-999;N/A;-0.03;0;2M
0641372+094506;06 41 37.29;+09 45 06.7;1.93;0.26;5;-999;-999;0.43;0.16;1;2M
0641373+095837;06 41 37.33;+09 58 37.6;-19.99;0.16;3;-999;-999;-0.05;-0.03;1;2M
0641375+094040;06 41 37.54;+09 40 40.8;-23.57;0.56;3;-999;-999;0.11;0.03;1;2M
0641377+094533;06 41 37.78;+09 45 33.3;9.84;0.17;2;-999;-999;0.22;-0.03;0;2M
0641381+095746;06 41 38.16;+09 57 46.7;73.32;0.22;6;-999;-999;0.17;0.00;1;2M
0641382+093213;06 41 38.28;+09 32 13.3;68.41;0.19;4;-999;-999;0.20;0.01;1;2M
0641387+093211;06 41 38.77;+09 32 11.8;1.18;0.26;9;-999;-999;0.86;0.28;1;2M
0641389+100935;06 41 38.91;+10 09 35.5;5.88;0.11;6;-999;-999;N/A;N/A;1;2M
0641390+092938;06 41 39.05;+09 29 38.1;23.01;0.67;3;-999;-999;0.23;0.07;0;2M
0641394+100002;06 41 39.43;+10 00 02.1;48.81;0.22;2;-999;-999;0.02;-0.08;0;2M
0641396+094141;06 41 39.63;+09 41 41.0;26.49;0.20;2;-999;-999;0.15;0.05;0;2M
0641397+094027;06 41 39.75;+09 40 27.9;3.96;0.50;2;-999;-999;0.71;0.25;0;2M
0641406+093558;06 41 40.67;+09 35 58.2;62.48;0.23;5;-999;-999;0.07;0.01;1;2M
0641411+093354;06 41 41.15;+09 33 54.6;10.51;0.09;3;-999;-999;0.17;-0.02;0;2M
0641414+094053;06 41 41.40;+09 40 53.6;42.53;0.37;5;-999;-999;0.16;-0.03;1;2M
0641415+094613;06 41 41.59;+09 46 13.5;73.69;0.06;2;-999;-999;N/A;-0.05;0;2M
0641420+094736;06 41 42.06;+09 47 36.1;4.19;0.25;7;-999;-999;-0.02;0.02;0;2M
0641424+095031;06 41 42.43;+09 50 31.4;90.15;0.00;2;-999;-999;N/A;-0.05;0;2M
0641427+094245;06 41 42.73;+09 42 45.9;0.94;0.22;2;0.82;1.708;N/A;0.06;0;2M
0641427+094256;06 41 42.74;+09 42 56.6;0.57;0.63;6;-999;-999;0.12;0.07;1;2M
0641428+092508;06 41 42.88;+09 25 08.4;3.93;0.57;9;-999;-999;0.55;0.23;1;2M
0641429+092327;06 41 42.92;+09 23 27.9;1.35;0.53;7;-999;-999;0.27;0.07;0;2M
0641434+095652;06 41 43.44;+09 56 52.8;25.50;0.16;6;-999;-999;0.14;0.00;1;2M
0641438+094104;06 41 43.87;+09 41 04.4;47.13;0.09;4;-999;-999;0.07;-0.08;1;2M
0641439+091757;06 41 43.99;+09 17 57.1;24.86;1.55;2;-999;-999;0.27;0.10;0;2M
0641442+094129;06 41 44.23;+09 41 29.7;52.60;0.28;4;-999;-999;0.13;0.01;1;2M
0641443+093035;06 41 44.38;+09 30 35.0;119.64;0.65;2;-999;-999;0.23;-0.03;0;2M
0641444+093935;06 41 44.46;+09 39 35.9;-13.81;0.64;2;-999;-999;0.13;-0.03;0;2M
0641449+094440;06 41 44.94;+09 44 40.4;3.08;0.11;9;0.53;1.314;0.09;-0.02;1;2M
0641450+095611;06 41 45.00;+09 56 11.3;24.24;0.09;4;-999;-999;0.15;-0.01;0;2M
0641456+093931;06 41 45.60;+09 39 31.2;1.32;3.31;2;-999;-999;0.20;0.08;0;2M
0641457+092642;06 41 45.76;+09 26 42.8;6.08;3.45;5;-999;-999;0.21;0.09;0;2M
0641459+093302;06 41 45.91;+09 33 02.5;25.76;0.14;3;-999;-999;0.19;-0.04;0;2M
0641464+094306;06 41 46.44;+09 43 06.8;2.24;0.21;7;0.51;1.408;0.07;0.01;1;2M
0641466+092400;06 41 46.68;+09 24 00.1;3.52;0.94;2;-999;-999;N/A;0.00;0;2M
0641471+093804;06 41 47.11;+09 38 04.7;2.27;0.89;2;0.70;1.15;0.13;-0.06;0;2M
0641472+093515;06 41 47.22;+09 35 15.3;17.06;1.74;2;-999;-999;0.20;0.04;0;2M
0641474+094200;06 41 47.42;+09 42 00.3;3.46;0.40;6;0.69;1.477;0.14;0.05;1;2M
0641474+094550;06 41 47.42;+09 45 50.2;-21.65;0.02;2;-999;-999;0.04;0.04;1;2M
0641480+094243;06 41 48.06;+09 42 43.3;1.92;0.97;8;-999;-999;0.08;-0.03;1;2M
0641481+094253;06 41 48.19;+09 42 53.3;-13.55;0.10;5;-999;-999;0.02;0.01;1;2M
0641488+094313;06 41 48.87;+09 43 13.4;10.62;0.40;4;-999;-999;0.26;-0.14;1;2M
0641490+094106;06 41 49.02;+09 41 06.1;1.56;0.31;8;-999;-999;0.12;0.01;1;2M
0641504+093927;06 41 50.41;+09 39 27.1;20.20;0.28;2;-999;-999;0.19;-0.07;0;2M
0641504+094601;06 41 50.46;+09 46 01.7;35.68;0.24;5;-999;-999;0.23;-0.10;1;2M
0641508+094725;06 41 50.87;+09 47 25.8;-10.26;0.21;4;-999;-999;0.23;-0.12;1;2M
0641510+094200;06 41 51.04;+09 42 00.4;1.64;3.44;2;0.00;1.672;N/A;0.16;0;2M
0641514+094409;06 41 51.48;+09 44 09.7;0.99;0.89;7;-999;-999;0.25;0.03;1;2M
0641514+095342;06 41 51.46;+09 53 42.6;4.57;0.43;9;-999;-999;0.04;0.01;1;2M
0641518+093256;06 41 51.84;+09 32 56.6;76.39;0.10;2;-999;-999;N/A;-0.01;0;2M
0641521+094622;06 41 52.19;+09 46 22.1;-7.16;0.10;2;-999;-999;0.18;0.04;0;2M
0641530+094915;06 41 53.06;+09 49 15.9;25.69;0.25;2;-999;-999;0.18;0.10;0;2M
0641530+100002;06 41 53.06;+10 00 02.3;-15.72;0.53;3;-999;-999;0.27;0.11;0;2M
0641531+095047;06 41 53.16;+09 50 47.4;5.54;0.17;5;-999;-999;0.36;0.25;1;2M
0641536+094203;06 41 53.69;+09 42 03.3;-10.51;0.09;5;-999;-999;0.03;-0.09;1;2M
0641536+094615;06 41 53.61;+09 46 15.0;2.48;0.56;2;-999;-999;0.24;-0.04;0;2M
0641544+092915;06 41 54.48;+09 29 16.0;1.10;0.10;5;-999;-999;0.15;-0.01;0;2M
0641546+094127;06 41 54.69;+09 41 27.2;-0.71;0.03;2;-999;-999;0.16;-0.05;1;2M
0641548+092528;06 41 54.84;+09 25 28.9;30.17;0.22;4;-999;-999;0.26;-0.09;1;2M
0641549+094252;06 41 54.93;+09 42 52.7;-0.94;2.16;4;0.40;1.5;0.11;0.10;0;2M
0641557+093958;06 41 55.79;+09 39 58.0;0.33;0.55;2;0.24;1.491;0.10;0.03;0;2M
0641563+095005;06 41 56.36;+09 50 05.9;0.89;0.07;6;-999;-999;0.01;-0.04;1;2M
0641567+093407;06 41 56.72;+09 34 07.8;13.43;0.46;2;-999;-999;0.14;-0.05;0;2M
0641571+095741;06 41 57.15;+09 57 41.5;27.92;0.07;4;-999;-999;0.24;-0.11;1;2M
0641580+094306;06 41 58.04;+09 43 06.2;6.56;0.66;8;0.57;1.314;0.12;0.01;1;2M
0641580+095054;06 41 58.03;+09 50 54.2;40.04;0.16;2;-999;-999;N/A;-0.09;0;2M
0641585+093936;06 41 58.56;+09 39 36.8;-4.22;0.66;2;0.00;1.19;N/A;0.03;0;2M
0641590+092621;06 41 59.01;+09 26 21.4;32.16;0.08;5;-999;-999;0.11;0.03;1;2M
0642011+100026;06 42 01.11;+10 00 26.2;87.48;0.03;3;-999;-999;0.11;20.15;1;2M
0642025+093652;06 42 02.56;+09 36 52.5;2.39;0.51;9;0.93;1.282;-0.13;0.06;1;2M
0642026+095827;06 42 02.68;+09 58 27.9;9.56;0.22;5;-999;-999;0.10;21.55;0;2M
0642029+092729;06 42 02.98;+09 27 29.2;22.14;0.47;5;-999;-999;0.20;-0.04;1;2M
0642030+093413;06 42 03.03;+09 34 13.9;21.58;0.14;2;-999;-999;0.16;19.84;0;2M
0642033+093713;06 42 03.37;+09 37 13.0;-9.39;1.00;2;-999;-999;N/A;N/A;0;2M
0642037+094122;06 42 03.71;+09 41 22.1;38.29;0.20;2;-999;-999;0.26;-0.06;0;2M
0642037+094959;06 42 03.79;+09 49 59.2;23.82;1.03;2;-999;-999;0.15;0.05;0;2M
0642042+093728;06 42 04.20;+09 37 28.6;45.05;2.24;2;-999;-999;N/A;N/A;0;2M
0642044+094238;06 42 04.49;+09 42 38.2;40.80;0.11;2;-999;-999;0.09;-0.15;1;2M
0642056+094436;06 42 05.60;+09 44 36.5;-88.87;0.35;4;-999;-999;21.87;-21.53;1;2M
0642071+095344;06 42 07.16;+09 53 44.5;9.72;0.33;4;-999;-999;0.13;-0.03;1;2M
0642071+100013;06 42 07.12;+10 00 13.9;59.79;0.14;4;-999;-999;0.23;20.46;1;2M
0642073+094947;06 42 07.36;+09 49 47.1;15.93;0.27;4;-999;-999;0.27;-0.12;1;2M
0642078+094652;06 42 07.86;+09 46 52.4;-21.21;0.13;5;-999;-999;N/A;N/A;1;2M
0642084+093321;06 42 08.43;+09 33 21.8;22.28;0.23;2;-999;-999;N/A;N/A;0;2M
0642087+094121;06 42 08.70;+09 41 21.2;2.34;0.66;9;-999;-999;N/A;N/A;1;2M
0642089+094208;06 42 08.93;+09 42 08.6;3.92;0.55;2;-999;-999;N/A;N/A;0;2M
