#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T14:02:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0b8d99052c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ic2602}&key:source=J/A+A/612/A99/ic2391&HTTPPRM:&&-ref=VIZ5d0b8d99052c&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ic2391&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ic2602
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ic2391
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ic2602:
#Name: J/A+A/612/A99/ic2602
#Title: Parameters for IC2602
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
160.9055417;-65.5565278;10433733-6533235; IC2602;GIRAFFE; 5156;   3;   3.504;   0.134;  -0.115;   0.083; ;  42.467;   4.227;   0;   1.004;   0.003; -16.984;   0.243;      ;      ; 785;160.90554;-65.55653
160.9101667;-63.8772778;10433844-6352382; IC2602;GIRAFFE; 4793;  27;   2.653;   0.092;  -0.037;   0.055; ;  25.500;        ;   0;   1.018;   0.004;   6.421;   0.242;      ;      ; 786;160.91017;-63.87728
160.9133333;-65.5963611;10433920-6535469; IC2602;GIRAFFE; 4638; 112;   2.470;   0.139;   0.019;   0.077;<;  35.500;        ;   3;   1.013;   0.005;  31.165;   0.244;      ;      ; 787;160.91333;-65.59636
160.9162917;-65.5666389;10433991-6533599; IC2602;GIRAFFE; 4679;  13;   4.151;        ;  -0.094;   0.066;<;  16.200;        ;   3;   1.036;   0.005; -52.440;   0.245;      ;      ; 788;160.91629;-65.56664
160.9178750;-64.7395278;10434029-6444223; IC2602;GIRAFFE; 4970;  37;   2.587;   0.103;  -0.260;   0.010;<;  20.200;        ;   3;   1.020;   0.003; -17.876;   0.240;      ;      ; 789;160.91787;-64.73953
160.9231667;-64.9533056;10434156-6457119; IC2602;GIRAFFE; 4625;  55;   2.434;   0.097;  -0.031;   0.015; ;  50.600;        ;   0;   1.015;   0.002;   8.408;   0.240;      ;      ; 790;160.92317;-64.95331
160.9244583;-65.6775833;10434187-6540393; IC2602;GIRAFFE; 4484; 174;   3.034;        ;  -0.113;   0.113;<;  36.900;        ;   3;   1.018;   0.007; -25.918;   0.251;      ;      ; 791;160.92446;-65.67758
160.9299583;-65.4633056;10434319-6527479; IC2602;GIRAFFE; 4619; 128;   2.605;        ;  -0.142;   0.128;<;  21.500;        ;   3;   1.017;   0.004;   6.703;   0.243;      ;      ; 792;160.92996;-65.46331
160.9305000;-65.6068611;10434332-6536247; IC2602;GIRAFFE; 4684;   9;   2.471;   0.088;  -0.021;   0.045; ;  47.100;   2.600;   0;   1.023;   0.004;   8.028;   0.242;      ;      ; 793;160.93050;-65.60686
160.9346667;-65.6749167;10434432-6540297; IC2602;GIRAFFE; 4702;  21;   2.505;   0.114;  -0.074;   0.034; ;  51.800;   3.505;   0;   1.019;   0.005;  96.077;   0.244;      ;      ; 794;160.93467;-65.67492
160.9372083;-65.6351944;10434493-6538067; IC2602;GIRAFFE; 4645;  13;   2.327;   0.122;  -0.111;   0.046;<;  36.600;        ;   3;   1.027;   0.006;  76.886;   0.247;      ;      ; 795;160.93721;-65.63519
160.9393750;-63.7843333;10434545-6347036; IC2602;GIRAFFE; 4570;  73;   3.242;        ;  -0.083;   0.049;<;  32.300;        ;   3;   1.027;   0.003;  -8.723;   0.240;      ;      ; 796;160.93937;-63.78433
160.9439167;-65.6442222;10434654-6538392; IC2602;GIRAFFE; 4595;  85;   2.094;        ;  -0.003;   0.096; ;  81.300;   4.073;   0;   1.031;   0.005;  12.950;   0.244;      ;      ; 797;160.94392;-65.64422
160.9440417;-65.6721667;10434657-6540198; IC2602;GIRAFFE; 4982;  65;   2.985;   0.192;   0.000;   0.044; ;  63.567;   5.650;   0;   1.016;   0.004; -28.504;   0.242;      ;      ; 798;160.94404;-65.67217
160.9506667;-64.0009722;10434816-6400035; IC2602;GIRAFFE; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;-404.431; 107.856;      ;      ; 799;160.95067;-64.00097
160.9531250;-63.7800278;10434875-6346481; IC2602;GIRAFFE; 3335;  58;   4.674;   0.101;  -0.280;        ; ;  41.500;        ;   0;   0.848;   0.015;  17.463;   0.375; 0.952;      ; 800;160.95312;-63.78003
160.9555417;-65.5801389;10434933-6534485; IC2602;GIRAFFE; 4692;  53;   2.532;   0.116;  -0.050;   0.014;<;  34.400;        ;   3;   1.016;   0.005; -15.977;   0.245;      ;      ; 801;160.95554;-65.58014
160.9592083;-64.7506111;10435021-6445022; IC2602;GIRAFFE; 3394; 133;   4.669;   0.125;  -0.280;        ; ; 174.500;        ;   0;   0.849;   0.010;  17.523;   0.272; 0.955;      ; 802;160.95921;-64.75061
160.9642083;-65.5059444;10435141-6530214; IC2602;GIRAFFE; 5012; 182;   3.339;   0.197;  -0.110;   0.177;<;  20.800;        ;   3;   1.003;   0.004;  39.956;   0.245;      ;      ; 803;160.96421;-65.50594
160.9649583;-65.6113611;10435159-6536409; IC2602;GIRAFFE; 5068;  98;   4.201;        ;  -0.071;   0.143;<;  15.300;        ;   3;   1.019;   0.003;   4.178;   0.241;      ;      ; 804;160.96496;-65.61136
160.9665417;-65.7260556;10435197-6543338; IC2602;GIRAFFE; 5035;  52;   3.535;   0.144;   0.013;   0.004;<;  29.800;        ;   3;   0.995;   0.006;  60.410;   0.248;      ;      ; 805;160.96654;-65.72606
160.9672917;-65.5873056;10435215-6535143; IC2602;GIRAFFE; 4523; 111;   2.262;   0.203;  -0.103;   0.019;<;  35.500;        ;   3;   1.022;   0.004;  71.145;   0.242;      ;      ; 806;160.96729;-65.58731
160.9715000;-64.8668333;10435316-6452006; IC2602;GIRAFFE; 3784;  67;   4.170;        ;  -0.160;        ; ;  98.900;        ;   0;   0.838;   0.003;  17.413;   0.243; 0.950;      ; 807;160.97150;-64.86683
160.9716667;-65.5675556;10435320-6534032; IC2602;GIRAFFE; 5141;  75;   4.436;        ;  -0.345;   0.051;<;  11.800;        ;   3;   1.013;   0.002; -60.215;   0.250;      ;      ; 808;160.97167;-65.56756
160.9721250;-63.7988889;10435331-6347560; IC2602;GIRAFFE; 5309; 155;   3.481;   0.198;   0.087;   0.075;<;  30.500;        ;   3;   1.023;   0.004;  10.768;   0.245;      ;      ; 809;160.97212;-63.79889
160.9757083;-64.8466944;10435417-6450481; IC2602;GIRAFFE; 5124;    ;   3.250;        ;  -0.030;        ; ;  37.100;        ;   0;   1.013;   0.003; -23.531;   0.242;      ;      ; 810;160.97571;-64.84669
160.9850833;-64.1144722;10435642-6406521; IC2602;GIRAFFE; 4648;  79;   2.559;   0.170;   0.110;        ;<;  53.800;        ;   3;   1.020;   0.004; -18.103;   0.242;      ;      ; 811;160.98508;-64.11447
160.9853333;-63.9762222;10435648-6358344; IC2602;GIRAFFE; 5507;    ;   4.346;        ;  -0.232;        ; ;        ;        ;    ;        ;        ;-656.633; 220.493;      ;      ; 812;160.98533;-63.97622
160.9930417;-63.9430278;10435833-6356349; IC2602;GIRAFFE; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ; -48.248; 323.269;      ;      ; 813;160.99304;-63.94303
160.9983750;-64.0125833;10435961-6400453; IC2602;GIRAFFE; 4949;    ;   3.491;        ;   0.348;        ; ;        ;        ;    ;        ;        ;  31.498; 251.407;      ;      ; 814;160.99837;-64.01258
160.9987917;-64.0179722;10435971-6401047; IC2602;GIRAFFE; 5728;    ;   2.362;        ;  -1.315;        ; ;        ;        ;    ;        ;        ;  12.097;   6.339;      ;      ; 815;160.99879;-64.01797
161.0045000;-65.6351667;10440108-6538066; IC2602;GIRAFFE; 4659; 120;   3.674;        ;  -0.095;   0.168;<;  33.100;        ;   3;   1.018;   0.004;   4.608;   0.245;      ;      ; 816;161.00450;-65.63517
161.0070417;-63.8306111;10440169-6349502; IC2602;GIRAFFE; 4966;  50;   2.993;   0.129;   0.012;   0.026;<;  29.300;        ;   3;   1.011;   0.001;   6.779;   0.240;      ;      ; 817;161.00704;-63.83061
161.0127500;-64.7276944;10440306-6443397; IC2602;GIRAFFE; 4701; 100;   2.458;   0.189;  -0.034;   0.050;<;  38.100;        ;   3;   1.028;   0.003; -24.630;   0.241;      ;      ; 818;161.01275;-64.72769
161.0146250;-63.8303611;10440351-6349493; IC2602;GIRAFFE; 4607;    ;   5.169;        ;   0.916;        ;<;  55.500;        ;   3;   1.022;   0.004;  80.667;   0.241;      ;      ; 819;161.01462;-63.83036
161.0179167;-63.9830556;10440430-6358590; IC2602;GIRAFFE; 5206;    ;   4.557;        ;   0.122;        ; ;        ;        ;    ;        ;        ; 162.855;  24.618;      ;      ; 820;161.01792;-63.98306
161.0282917;-65.5229167;10440679-6531225; IC2602;GIRAFFE; 4735;    ;   2.522;        ;  -0.967;        ;<;  46.900;        ;   3;   1.031;   0.007;  30.752;   0.254;      ;      ; 821;161.02829;-65.52292
161.0290000;-65.5436111;10440696-6532370; IC2602;GIRAFFE; 4580; 170;   2.508;   0.199;   0.118;   0.025;<;  44.300;        ;   3;   1.012;   0.007;  21.284;   0.249;      ;      ; 822;161.02900;-65.54361
161.0292500;-63.7686389;10440702-6346071; IC2602;GIRAFFE; 4573; 125;   4.560;        ;  -0.542;   0.078;<;  36.400;        ;   3;   1.031;   0.006;  41.704;   0.252;      ;      ; 823;161.02925;-63.76864
161.0302917;-63.9157778;10440727-6354568; IC2602;GIRAFFE; 4625;  15;   2.275;   0.090;  -0.002;   0.040;<;  39.600;        ;   3;   1.030;   0.001;   8.337;   0.240;      ;      ; 824;161.03029;-63.91578
161.0335417;-65.7336111;10440805-6544010; IC2602;GIRAFFE; 4946; 115;   4.375;        ;  -0.028;   0.056;<;  40.900;        ;   3;   1.021;   0.004;  -6.747;   0.243;      ;      ; 825;161.03354;-65.73361
161.0345417;-64.7050833;10440829-6442183; IC2602;GIRAFFE; 3522;  12;   3.365;        ;  -0.250;        ; ; 133.200;        ;   0;   0.843;   0.005;  18.615;   0.253; 0.944;      ; 826;161.03454;-64.70508
161.0420417;-64.0070833;10441009-6400255; IC2602;GIRAFFE; 4814; 132;   4.323;        ;  -0.079;   0.089;<;  32.500;        ;   3;   1.026;   0.002; -43.542;   0.241;      ;      ; 827;161.04204;-64.00708
161.0429167;-65.0470833;10441030-6502495; IC2602;GIRAFFE; 5116;  52;   3.555;        ;  -0.026;   0.053;<;  18.900;        ;   3;   1.017;   0.003;  -5.772;   0.242;      ;      ; 828;161.04292;-65.04708
161.0447917;-65.6632500;10441075-6539477; IC2602;GIRAFFE; 4914; 154;   2.302;   0.183;  -0.229;   0.027;<;  53.900;        ;   3;   1.033;   0.010;  25.266;   0.298;      ;      ; 829;161.04479;-65.66325
161.0482083;-64.6970556;10441157-6441494; IC2602;GIRAFFE; 4731;  33;   2.523;   0.180;  -0.080;   0.059;<;  28.400;        ;   3;   1.031;   0.004;  -0.255;   0.244;      ;      ; 830;161.04821;-64.69706
161.0483333;-65.6885000;10441160-6541186; IC2602;GIRAFFE; 4598;    ;   4.235;        ;  -0.088;        ;<;  43.900;        ;   3;   1.042;   0.007;  95.695;   0.251;      ;      ; 831;161.04833;-65.68850
161.0508750;-64.0625556;10441221-6403452; IC2602;GIRAFFE; 4824;  53;   2.752;   0.065;  -0.419;   0.020;<;  11.700;        ;   3;   1.013;   0.002;  49.954;   0.241;      ;      ; 832;161.05087;-64.06256
161.0510417;-65.7094722;10441225-6542341; IC2602;GIRAFFE; 4697;  50;   2.552;   0.102;   0.001;   0.080;<;  40.800;        ;   3;   1.011;   0.006;  -5.935;   0.247;      ;      ; 833;161.05104;-65.70947
161.0532917;-65.6701944;10441279-6540127; IC2602;GIRAFFE; 5128;  39;   4.718;        ;  -0.060;   0.090;<;  24.400;        ;   3;   1.022;   0.003; -29.993;   0.241;      ;      ; 834;161.05329;-65.67019
161.0546667;-64.0112778;10441312-6400406; IC2602;GIRAFFE; 5121;    ;   4.184;        ;  -0.085;        ; ;        ;        ;    ;        ;        ; 574.874; 838.548;      ;      ; 835;161.05467;-64.01128
161.0580833;-64.7742500;10441394-6446273; IC2602;GIRAFFE; 5142;    ;   3.476;        ;   0.223;        ; ; 278.600;   8.236;   0;   0.975;   0.001;  17.300;   0.240; 0.944;      ; 836;161.05808;-64.77425
161.0602083;-63.8262778;10441445-6349346; IC2602;GIRAFFE; 4816; 345;   3.004;        ;  -0.308;   0.230;<;  27.800;        ;   3;   1.016;   0.003;  33.592;   0.241;      ;      ; 837;161.06021;-63.82628
161.0608750;-64.9655278;10441461-6457559; IC2602;GIRAFFE; 4917;  34;   2.633;   0.084;  -0.018;   0.021;<;  22.200;        ;   3;   1.021;   0.003;  13.649;   0.241;      ;      ; 838;161.06087;-64.96553
161.0645417;-65.5638056;10441549-6533497; IC2602;GIRAFFE; 4798;  40;   4.587;        ;   0.068;   0.003;<;  40.900;        ;   3;   0.998;   0.003;  37.276;   0.242;      ;      ; 839;161.06454;-65.56381
161.0648750;-65.6468056;10441557-6538485; IC2602;GIRAFFE; 5674;  19;   3.673;        ;  -0.243;   0.080; ;  37.000;        ;   0;   0.998;   0.002;  83.928;   0.241;      ;      ; 840;161.06487;-65.64681
161.0657500;-65.5186667;10441578-6531072; IC2602;GIRAFFE; 5002; 200;   2.475;        ;  -0.118;   0.138;<;  37.200;        ;   3;   1.019;   0.005; -13.691;   0.250;      ;      ; 841;161.06575;-65.51867
161.0697917;-64.7827778;10441675-6446580; IC2602;GIRAFFE; 4606;    ;   4.104;        ;  -0.312;        ;<;  50.400;        ;   3;   1.037;   0.003;  25.628;   0.241;      ;      ; 842;161.06979;-64.78278
161.0787500;-64.8891944;10441890-6453211; IC2602;GIRAFFE; 3592;  88;   3.884;        ;  -0.230;        ; ; 123.200;        ;   0;   0.833;   0.008;  19.287;   0.269; 0.898;      ; 843;161.07875;-64.88919
161.0878333;-64.6947222;10442108-6441410; IC2602;GIRAFFE; 4803;   2;   2.602;   0.053;  -0.034;   0.097;<;  20.200;        ;   3;   1.016;   0.004;  11.287;   0.242;      ;      ; 844;161.08783;-64.69472
161.0926250;-64.2832500;10442223-6416597; IC2602;GIRAFFE; 4664;  40;   2.454;   0.124;  -0.031;   0.046;<;  24.900;        ;   3;   1.021;   0.002;  -3.876;   0.240;      ;      ; 845;161.09262;-64.28325
161.0934583;-64.0439444;10442243-6402382; IC2602;GIRAFFE; 4558;    ;   4.366;        ;   0.276;        ; ;  45.900;        ;   0;   1.056;   0.004;  33.371;   0.242;      ;      ; 846;161.09346;-64.04394
161.0969583;-64.3035556;10442327-6418128; IC2602;GIRAFFE; 4748; 203;   2.787;        ;  -0.135;   0.169;<;  24.000;   3.200;   3;   1.021;   0.001; -32.227;   0.241;      ;      ; 847;161.09696;-64.30356
161.0983750;-64.0038333;10442361-6400138; IC2602;GIRAFFE; 5346;    ;   5.116;        ;   0.057;        ; ;        ;        ;    ;        ;        ; 453.120; 309.290;      ;      ; 848;161.09837;-64.00383
161.1056250;-63.7782778;10442535-6346418; IC2602;GIRAFFE; 4804; 129;   2.658;   0.153;  -0.046;   0.053;<;  31.600;        ;   3;   1.014;   0.003;   9.647;   0.241;      ;      ; 849;161.10562;-63.77828
161.1079583;-63.9701111;10442591-6358124; IC2602;GIRAFFE; 6444;    ;   4.647;        ;  -0.417;        ; ;        ;        ;    ;        ;        ; 662.378; 372.167;      ;      ; 850;161.10796;-63.97011
161.1096250;-65.0905556;10442631-6505260; IC2602;GIRAFFE; 4696;  67;   2.453;   0.060;  -0.065;   0.008; ;  50.133;   2.517;   0;   1.026;   0.003; -37.280;   0.241;      ;      ; 851;161.10962;-65.09056
161.1108750;-63.9875000;10442661-6359150; IC2602;GIRAFFE; 4629;  94;   5.077;        ;   0.037;   0.079;<;  38.400;        ;   3;   1.019;   0.002;  45.248;   0.240;      ;      ; 852;161.11087;-63.98750
161.1113333;-64.3517222;10442672-6421062; IC2602;GIRAFFE; 4472; 209;   2.610;        ;  -0.078;   0.072;<;  34.300;   1.250;   3;   1.019;   0.002;  39.950;   0.242;      ;      ; 853;161.11133;-64.35172
161.1141250;-65.6092778;10442739-6536334; IC2602;GIRAFFE; 4721;   8;   2.405;   0.203;  -0.135;   0.150;<;  43.200;        ;   3;   1.030;   0.007;  83.629;   0.257;      ;      ; 854;161.11412;-65.60928
161.1143750;-64.8572778;10442745-6451262; IC2602;GIRAFFE; 4955;  10;   2.814;   0.041;   0.001;   0.001;<;  38.100;        ;   3;   1.017;   0.003; -25.620;   0.241;      ;      ; 855;161.11437;-64.85728
161.1370833;-64.0641389;10443290-6403509; IC2602;GIRAFFE; 4607;  44;   2.379;   0.095;  -0.013;   0.004;<;  34.400;        ;   3;   1.020;   0.002;   3.121;   0.240;      ;      ; 856;161.13708;-64.06414
161.1393750;-64.2920278;10443345-6417313; IC2602;GIRAFFE; 4942; 141;   4.018;        ;  -0.085;   0.133;<;  18.400;        ;   3;   1.022;   0.002; -41.256;   0.240;      ;      ; 857;161.13937;-64.29203
161.1415417;-64.9320556;10443397-6455554; IC2602;GIRAFFE; 5010; 125;   4.382;        ;  -0.053;   0.112;<;  26.800;        ;   3;   1.008;   0.003;  17.434;   0.241;      ;      ; 858;161.14154;-64.93206
161.1657500;-64.2053056;10443978-6412191; IC2602;GIRAFFE; 4793;  56;   2.592;   0.010;   0.006;   0.036;<;  30.600;        ;   3;   1.022;   0.001; -26.031;   0.240;      ;      ; 859;161.16575;-64.20531
161.1692083;-64.9425556;10444061-6456332; IC2602;GIRAFFE; 4939;  29;   2.798;   0.071;  -0.017;   0.005;<;  30.500;        ;   3;   1.020;   0.003; -36.143;   0.241;      ;      ; 860;161.16921;-64.94256
161.1774167;-64.7580278;10444258-6445289; IC2602;GIRAFFE; 4922; 217;   4.477;        ;  -0.092;   0.163;<;  28.500;        ;   3;   1.011;   0.004;  10.360;   0.244;      ;      ; 861;161.17742;-64.75803
161.1834583;-64.3894167;10444403-6423219; IC2602;GIRAFFE; 3615;    ;   4.270;        ;   0.358;        ; ; 143.700;        ;   0;   0.827;   0.018; -19.366;   0.465; 0.006;      ; 862;161.18346;-64.38942
161.1921667;-63.8018889;10444612-6348068; IC2602;GIRAFFE; 4849;  34;   2.786;   0.082;   0.004;   0.085;<;  39.900;        ;   3;   1.008;   0.002;  32.925;   0.240;      ;      ; 863;161.19217;-63.80189
161.1992500;-63.7161944;10444782-6342583; IC2602;GIRAFFE; 4763; 101;   2.608;   0.200;  -0.098;   0.104;<;  27.800;        ;   3;   1.017;   0.003; -44.695;   0.242;      ;      ; 864;161.19925;-63.71619
161.2033750;-64.2216944;10444881-6413181; IC2602;GIRAFFE; 5029;  77;   4.245;        ;  -0.073;   0.064;<;  23.700;        ;   3;   1.016;   0.001; -11.192;   0.240;      ;      ; 865;161.20337;-64.22169
161.2119167;-64.8341944;10445086-6450031; IC2602;GIRAFFE; 4581;  81;   4.547;        ;  -0.056;   0.053;<;  32.900;        ;   3;   1.023;   0.002; -44.080;   0.240;      ;      ; 866;161.21192;-64.83419
161.2185000;-64.8185000;10445244-6449066; IC2602;GIRAFFE; 4718;  78;   2.456;   0.016;  -0.046;   0.019;<;  24.100;        ;   3;   1.024;   0.004;  10.343;   0.242;      ;      ; 867;161.21850;-64.81850
161.2287083;-63.9005000;10445489-6354018; IC2602;GIRAFFE; 4695;  23;   2.089;   0.077;  -0.748;   0.029;<;  18.900;        ;   3;   1.017;   0.002;  47.107;   0.240;      ;      ; 868;161.22871;-63.90050
161.2337083;-63.7790278;10445609-6346445; IC2602;GIRAFFE; 4476; 140;   2.227;   0.193;   0.115;   0.052;<;  37.300;        ;   3;   1.025;   0.002;  -0.070;   0.240;      ;      ; 869;161.23371;-63.77903
161.2455000;-63.8581667;10445892-6351294; IC2602;GIRAFFE; 4712; 114;   2.541;   0.157;   0.018;   0.063; ;  83.000;   6.046;   0;   1.018;   0.001;  46.104;   0.240;      ;      ; 870;161.24550;-63.85817
161.2503333;-63.7778611;10450008-6346403; IC2602;GIRAFFE; 4736;  82;   2.578;   0.009;   0.032;   0.030; ;  63.100;        ;   0;   1.020;   0.003;   8.290;   0.241;      ;      ; 871;161.25033;-63.77786
161.2507083;-65.0315833;10450017-6501537; IC2602;GIRAFFE; 5019; 191;   4.150;        ;  -0.096;   0.135;<;  18.100;        ;   3;   1.021;   0.002; -25.833;   0.241;      ;      ; 872;161.25071;-65.03158
161.2549167;-64.0335556;10450118-6402008; IC2602;GIRAFFE; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ; 873;161.25492;-64.03356
161.2575833;-64.7443889;10450182-6444398; IC2602;GIRAFFE; 3546;  73;   4.700;        ;  -0.140;        ; ; 199.200;        ;   0;   0.738;   0.010;  12.799;   0.386; 0.286;      ; 874;161.25758;-64.74439
161.2646667;-64.4023889;10450352-6424086; IC2602;GIRAFFE; 4782; 124;   2.656;   0.093;   0.078;   0.077;<;  37.800;        ;   3;   1.016;   0.003;   0.069;   0.241;      ;      ; 875;161.26467;-64.40239
161.2655000;-64.3699444;10450372-6422118; IC2602;GIRAFFE; 4727;  57;   2.564;   0.080;   0.029;   0.076;<;  40.500;        ;   3;   1.014;   0.002;  26.148;   0.241;      ;      ; 876;161.26550;-64.36994
161.2726667;-64.0442222;10450544-6402392; IC2602;GIRAFFE; 4485; 207;   4.410;        ;   0.123;   0.039; ; 144.633;   6.226;   0;   1.021;   0.003;  11.429;   0.240;      ;      ; 877;161.27267;-64.04422
161.2730000;-64.7943056;10450552-6447395; IC2602;GIRAFFE; 4727;   7;   2.544;   0.136;  -0.081;   0.061;<;  25.200;        ;   3;   1.020;   0.003; -19.143;   0.241;      ;      ; 878;161.27300;-64.79431
161.2737500;-63.7398333;10450570-6344234; IC2602;GIRAFFE; 4648;   9;   2.416;   0.118;  -0.050;   0.001; ;  95.100;        ;   0;   1.026;   0.002; -17.329;   0.240;      ;      ; 879;161.27375;-63.73983
161.2854167;-63.7420278;10450850-6344313; IC2602;GIRAFFE; 4711;   0;   2.539;   0.178;  -0.061;   0.030;<;  24.700;        ;   3;   1.028;   0.003; -12.242;   0.241;      ;      ; 880;161.28542;-63.74203
161.2921250;-64.8934444;10451011-6453364; IC2602;GIRAFFE; 4515; 153;   4.097;        ;   0.176;   0.008;<;  70.000;        ;   3;   1.022;   0.004;  13.639;   0.241;      ;      ; 881;161.29212;-64.89344
161.2965000;-64.4195833;10451116-6425105; IC2602;GIRAFFE; 4849; 182;   2.820;        ;  -0.060;   0.107;<;  25.700;   1.750;   3;   1.020;   0.002; -30.131;   0.241;      ;      ; 882;161.29650;-64.41958
161.2974583;-63.8055833;10451139-6348201; IC2602;GIRAFFE; 4802; 221;   3.010;        ;  -0.096;   0.170;<;  28.100;        ;   3;   1.024;   0.002; -13.401;   0.240;      ;      ; 883;161.29746;-63.80558
161.3064583;-64.9935000;10451355-6459366; IC2602;GIRAFFE; 4773;  32;   2.606;   0.035;   0.035;   0.036;<;  40.200;        ;   3;   1.014;   0.004;  16.375;   0.242;      ;      ; 884;161.30646;-64.99350
161.3093750;-64.1665278;10451425-6409595; IC2602;GIRAFFE; 4621;    ;   4.168;        ;  -0.235;        ;<;  52.200;        ;   3;   1.027;   0.002;  31.783;   0.240;      ;      ; 885;161.30937;-64.16653
161.3094583;-63.8243056;10451427-6349275; IC2602;GIRAFFE; 5106;  36;   4.361;        ;   0.012;   0.003;<;  18.900;        ;   3;   1.019;   0.003;   2.148;   0.241;      ;      ; 886;161.30946;-63.82431
